date, pm25, pm10, o3, no2, so2, co
2015-02-05, 76, 70, 19, 43, 17, 15
2015-02-06, 152, 32, 37, 10, 4, 2
2015-02-07, 40, 31, 29, 15, 8, 5
2015-02-08, 70, 96, 13, 41, 28, 17
2015-02-09, 184, 107, 18, 54, 28, 23
2015-02-10, 199, 51, 37, 25, 17, 12
2015-02-11, 101, 35, 32, 24, 9, 6
2015-02-12, 91, 75, 24, 42, 20, 20
2015-02-13, 204, , 25, 61, 36, 31
2015-02-14, 315, 193, 8, 64, 48, 43
2015-02-15, 342, 51, 27, 25, 20, 19
2015-02-16, 166, 32, 20, 14, 5, 4
2015-02-17, 75, 57, 33, 15, 10, 6
2015-02-18, 93, 148, 28, 18, 30, 11
2015-02-19, 249, , 23, 17, 6, 13
2015-02-20, 197, 262, 29, 13, 8, 11
2015-02-21, 209, 204, 26, 8, 2, 2
2015-02-22, 106, 72, 25, 16, 10, 5
2015-02-23, 113, 128, 22, 29, 21, 20
2015-02-24, 223, 56, 31, 16, 7, 8
2015-02-25, 112, 22, 32, 11, 4, 3
2015-02-26, 56, 32, 21, 15, 8, 7
2015-02-27, 77, 103, 5, 20, 7, 13
2015-02-28, 205, 61, 30, 21, 6, 6
2015-03-01, 104, 68, 28, 27, 13, 14
2015-03-02, 126, 37, 28, 4, 1, 1
2015-03-03, 31, 29, 29, 15, 6, 4
2015-03-04, 69, 82, 24, 30, 24, 13
2015-03-05, 179, 128, 25, 41, 33, 20
2015-03-06, 251, 148, 38, 43, 24, 22
2015-03-07, 282, 31, 31, 27, 16, 14
2015-03-08, 166, 20, 29, 6, 1, 1
2015-03-09, 31, 37, 30, 19, 5, 5
2015-03-10, 79, 48, 28, 29, 9, 9
2015-03-11, 107, 69, 23, 36, 14, 14
2015-03-12, 156, 58, 34, 31, 12, 10
2015-03-13, 127, 78, 16, 39, 23, 15
2015-03-14, 174, 117, 38, 42, 16, 16
2015-03-15, 186, 184, 14, 43, 19, 18
2015-03-16, 262, 200, 43, 33, 10, 17
2015-03-17, 262, 58, 37, 25, 6, 6
2015-03-18, 117, 121, 27, 42, 6, 10
2015-03-19, 169, 119, 39, 27, 2, 5
2015-03-20, 115, 75, 34, 16, 2, 2
2015-03-21, 65, 73, 36, 10, 2, 2
2015-03-22, 69, 60, 34, 24, 3, 6
2015-03-23, 101, 80, 38, 32, 16, 16
2015-03-24, 164, 96, 41, 40, 25, 17
2015-03-25, 185, 95, 56, 28, 13, 8
2015-03-26, 173, 107, 52, 24, 17, 8
2015-03-27, 174, 223, 35, 16, 5, 4
2015-03-28, 134, 196, 44, 37, 10, 10
2015-03-29, 165, 190, 62, 36, 15, 13
2015-03-30, 207, 96, 31, 27, 9, 19
2015-03-31, 196, 55, 31, 26, 2, 6
2015-04-01, 131, 19, 35, 14, 1, 6
2015-04-02, 110, 27, 48, 16, 1, 5
2015-04-03, 87, 49, 60, 19, 2, 5
2015-04-04, 137, 69, 36, 18, 2, 5
2015-04-05, 118, 25, 35, 7, 1, 1
2015-04-06, 72, 29, 35, 13, 1, 2
2015-04-07, 75, 75, 40, 24, 8, 7
2015-04-08, 171, 103, 52, 32, 12, 11
2015-04-09, 212, 115, 58, 37, 7, 10
2015-04-10, 231, 86, 57, 24, 11, 17
2015-04-11, 215, 20, 35, 7, 1, 2
2015-04-12, 62, 22, 50, 11, 1, 3
2015-04-13, 97, 59, 47, 34, 2, 6
2015-04-14, 150, 195, 42, 43, 8, 8
2015-04-15, 211, 108, 37, 8, 1, 1
2015-04-16, 95, 112, 40, 28, 10, 6
2015-04-17, 153, 156, 42, 47, 16, 14
2015-04-18, 197, 78, 41, 18, 4, 5
2015-04-19, 136, 79, 53, 25, 4, 7
2015-04-20, 150, 85, 40, 23, 5, 5
2015-04-21, 142, 72, 57, 28, 4, 6
2015-04-22, 130, 81, 38, 25, 9, 5
2015-04-23, 134, 106, 58, 24, 4, 5
2015-04-24, 144, 105, 86, 38, 7, 7
2015-04-25, 166, 113, 108, 25, 11, 8
2015-04-26, 180, 92, 87, 23, 6, 8
2015-04-27, 168, 52, 59, 19, 3, 6
2015-04-28, 126, 87, 96, 28, 6, 13
2015-04-29, 183, 86, 103, 24, 6, 9
2015-04-30, 177, 92, 36, 26, 10, 10
2015-05-01, 195, 48, 67, 14, 1, 4
2015-05-02, 119, 73, 41, 14, 1, 4
2015-05-03, 112, 48, 51, 10, 3, 2
2015-05-04, 66, 67, 41, 18, 5, 4
2015-05-05, 124, 52, 40, 13, 2, 2
